,lipid,fc,p,pnd1,pnd2
0,SM(14:0)+H,1.1886670391412142,0.04063195983823151,30,60
1,SM(16:0)+H,0.9792902007293723,0.8249529872371902,30,60
2,SM(18:0)+H,0.8152157173009422,0.16358612729757072,30,60
3,SM(18:1)+H,0.9681243721558005,0.6436688088483412,30,60
4,SM(20:0)+H,0.5675208884163601,0.03595460659194413,30,60
5,SM(20:1)+H,1.0519164046034517,0.6982278372166872,30,60
6,SM(22:1)+H,0.8240364675843999,0.43992622331125675,30,60
7,SM(24:0)+H,0.47594709401057217,0.03213626753060149,30,60
8,SM(24:1)+H,0.6042438623985815,0.01860089044834879,30,60
9,CE(22:6)+H,0.6815150551507486,0.6301948404435347,30,60
10,CE(14:0)+H,1.4707172988472141,0.2771176494536972,30,60
11,CE(16:1)+H,0.2125547828287664,0.4058108592263532,30,60
12,CE(18:0)+H,0.42060635377184263,0.15310996644702313,30,60
13,CE(18:1)+H,1.2364900107043701,0.5494367755942904,30,60
14,CE(20:3)+H,0.9360569361065035,0.8683845466421335,30,60
15,CE(20:4)+H,0.6077688217515359,0.2513343104875399,30,60
16,CE(20:5)+H,0.9359689663709396,0.9005375430165875,30,60
17,CE(22:2)+H,0.9082237170595351,0.8386586977249003,30,60
18,CE(24:1)+H,2.203530906328792,0.07908259273265579,30,60
19,CER(14:0)+H,0.9576792703748936,0.9154221451407946,30,60
20,CER(16:0)+H,0.7492062446556778,0.4474681148241071,30,60
21,CER(18:0)+H,1.2971209998867665,0.4724091491065774,30,60
22,CER(18:1)+H,0.8809218767733376,0.7479692315575146,30,60
23,CER(20:0)+H,0.6729178530035055,0.24728952678565363,30,60
24,CER(20:1)+H,0.7285495924370267,0.3655656269338776,30,60
25,CER(22:0)+H,0.8079033803541218,0.5387023761750889,30,60
26,CER(22:1)+H,0.7895860992469164,0.4755422242402114,30,60
27,CER(24:0)+H,0.7919224766350502,0.4800510143456068,30,60
28,CER(24:1)+H,0.650352087533604,0.21971280715220426,30,60
29,CER(26:1)+H,0.628752639204597,0.3256979143868799,30,60
30,DCER(14:0)+H,0.6912482236966866,0.41126447380145614,30,60
31,DCER(16:0)+H,0.7375074822083848,0.2112363927246021,30,60
32,DCER(18:0)+H,0.8673723678297305,0.7142269946807743,30,60
33,DCER(18:1)+H,1.3219129813968864,0.5867166545627378,30,60
34,DCER(20:0)+H,0.6040865904971771,0.2551802765213158,30,60
35,DCER(20:1)+H,0.9200336743930616,0.8640096929707172,30,60
36,DCER(22:0)+H,0.7423670589358177,0.4177006644050917,30,60
37,DCER(22:1)+H,0.9329316575986378,0.834163806940581,30,60
38,DCER(24:0)+H,0.6254912846584917,0.2938358976861185,30,60
39,DCER(24:1)+H,0.7367005296999914,0.3789755730816696,30,60
40,DCER(26:0)+H,1.128813283291403,0.7334302717150623,30,60
41,DCER(26:1)+H,0.39511096996548856,0.21707393887768203,30,60
42,HCER(14:0)+H,0.7412036651976157,0.4296128176778322,30,60
43,HCER(16:0)+H,0.8641065430401758,0.6853699156141523,30,60
44,HCER(18:0)+H,0.9542049713000583,0.9253856701484386,30,60
45,HCER(18:1)+H,0.8870621362435054,0.7547347400796501,30,60
46,HCER(20:0)+H,0.7920897822646384,0.5950909491179535,30,60
47,HCER(20:1)+H,0.9045430369514965,0.7977845501483767,30,60
48,HCER(22:0)+H,0.782816860949666,0.4662275017986274,30,60
49,HCER(22:1)+H,0.786424737995392,0.466657233129232,30,60
50,HCER(24:0)+H,0.8345826399468264,0.6381074499671945,30,60
51,HCER(24:1)+H,0.8305705319172935,0.5863240389984182,30,60
52,HCER(26:0)+H,0.7161184616746742,0.34358719356508627,30,60
53,HCER(26:1)+H,0.896905117651137,0.7750521061720343,30,60
54,HCER(d18:0/18:0)+H,0.9474117061084829,0.9148453241111193,30,60
55,HCER(d18:0/22:0)+H,0.6937531312266679,0.3447286117674607,30,60
56,HCER(d18:0/24:0)+H,0.7157184756881229,0.43154526467181087,30,60
57,HCER(d18:0/24:1)+H,0.7628658104869545,0.3970233131975387,30,60
58,LCER(14:0)+H,0.8355263285335603,0.5988195056275902,30,60
59,LCER(16:0)+H,0.8791543973406912,0.6977003009000649,30,60
60,LCER(18:0)+H,0.834426236377876,0.6788469855461536,30,60
61,LCER(26:1)+H,0.7702206976443037,0.7227768417253387,30,60
62,LCER(d18:0/20:0)+H,0.5084262584937255,0.07949906980516118,30,60
63,TAG(44:1/FA16:1)+NH4,1.5833015910009438,0.2308098587477101,30,60
64,TAG(44:2/FA16:1)+NH4,0.9465543801476887,0.8642616667950389,30,60
65,TAG(44:3/FA18:2)+NH4,0.30450170340706667,0.026797433387339538,30,60
66,TAG(45:1/FA16:0)+NH4,0.9189739045508245,0.8283265948130542,30,60
67,TAG(46:0/FA18:0)+NH4,0.8856172996241332,0.7564755279742279,30,60
68,TAG(46:1/FA18:1)+NH4,0.8368328625379726,0.8244201222214855,30,60
69,TAG(46:2/FA16:1)+NH4,0.5650502726868252,0.31086884354923033,30,60
70,TAG(46:2/FA18:1)+NH4,0.6624594782750145,0.4002574991463276,30,60
71,TAG(46:2/FA18:2)+NH4,0.5862395536685457,0.20115706383399712,30,60
72,TAG(46:3/FA16:1)+NH4,0.7458125687618894,0.4353736823452745,30,60
73,TAG(46:3/FA18:1)+NH4,0.5475229153175446,0.26700953944518024,30,60
74,TAG(46:3/FA18:2)+NH4,0.8043212118284535,0.6178605398828132,30,60
75,TAG(46:3/FA18:3)+NH4,0.6368830476465366,0.3021977909134779,30,60
76,TAG(46:4/FA18:2)+NH4,0.9092426513399777,0.7419254560989351,30,60
77,TAG(47:0/FA17:0)+NH4,1.2235564806092087,0.576350634838724,30,60
78,TAG(47:1/FA17:0)+NH4,0.5054076602542811,0.06248217574436622,30,60
79,TAG(48:1/FA14:0)+NH4,0.5291918580478038,0.2385860679243354,30,60
80,TAG(48:1/FA16:0)+NH4,1.0841716484423483,0.7482165246577919,30,60
81,TAG(48:1/FA16:1)+NH4,0.521938211404327,0.38831130359210064,30,60
82,TAG(48:2/FA14:0)+NH4,1.317450198288353,0.5385479043518137,30,60
