,lipid,fc,p,gender1,gender2
0,SM(14:0)+H,0.9038902320595286,0.23910391620034166,Male,Female
1,SM(16:0)+H,1.0014567637922696,0.9876144811226327,Male,Female
2,SM(18:0)+H,1.0343428945543998,0.8154593401973023,Male,Female
3,SM(18:1)+H,0.989941376561941,0.8841973025837163,Male,Female
4,SM(20:0)+H,1.247648752291222,0.39195911232101477,Male,Female
5,SM(20:1)+H,1.1126527864362818,0.4103102028425265,Male,Female
6,SM(22:1)+H,1.459262600801516,0.12429092832927296,Male,Female
7,SM(24:0)+H,1.4595420849120533,0.2512925761029025,Male,Female
8,SM(24:1)+H,1.1277862335710909,0.5628343940529853,Male,Female
9,SM(26:0)+H,0.695134665291363,0.4800547676494984,Male,Female
10,CE(22:6)+H,0.4064806106567388,0.25232064089409717,Male,Female
11,CE(14:0)+H,0.9911845268057697,0.980271201786741,Male,Female
12,CE(16:1)+H,3.277780556312303,0.3544102547798217,Male,Female
13,CE(18:0)+H,1.8377858555727205,0.23679730701029872,Male,Female
14,CE(18:1)+H,0.7901524436315107,0.5140672232798067,Male,Female
15,CE(20:3)+H,0.964619192210956,0.9278717877386812,Male,Female
16,CE(20:4)+H,1.1142829964567624,0.7954826246182793,Male,Female
17,CE(20:5)+H,0.5538444917528285,0.28504317663633666,Male,Female
18,CE(22:2)+H,2.3594287329053953,0.0690712825949454,Male,Female
19,CE(24:1)+H,0.8816280336793298,0.7913649973207152,Male,Female
20,CER(14:0)+H,0.8717366374373526,0.7355546880644658,Male,Female
21,CER(16:0)+H,0.9178944230837958,0.8165053771220603,Male,Female
22,CER(18:0)+H,1.2674412044673804,0.5160689459463095,Male,Female
23,CER(18:1)+H,0.9025745777136647,0.7917969506251008,Male,Female
24,CER(20:0)+H,1.1151174387297575,0.7411684872207982,Male,Female
25,CER(20:1)+H,1.1129976152265053,0.7524559365666912,Male,Female
26,CER(22:0)+H,1.015741362613981,0.963270166828658,Male,Female
27,CER(22:1)+H,1.0313894584567758,0.9238100415456036,Male,Female
28,CER(24:0)+H,1.207623733822793,0.5589702809031245,Male,Female
29,CER(24:1)+H,0.9539897964270362,0.8886790684431819,Male,Female
30,CER(26:1)+H,0.8967040106470829,0.8086123788346894,Male,Female
31,DCER(14:0)+H,1.0291637730959657,0.9486113869283817,Male,Female
32,DCER(16:0)+H,0.9874816856910832,0.9576761892330967,Male,Female
33,DCER(18:0)+H,1.0645105368659917,0.8699482180916469,Male,Female
